,id,BoroCT2010,n_report,DBN,school_distance,n_school,subway_distance,n_tobacco,Enrollment,Student Achievement Rating,Percent White,Percent Black,Percent Hispanic,Percent Asian,% Female,% Poverty,MHI,Total Population,type,latitude,longitude,have_sold
13,12003,1003200,0.0,22K405,4653.33573798,0.0,1624.20158571,13,3986,Meeting Target,0.223,0.293,0.123,0.35,0.549172103405,0.501756131649,52203,8234,CONVENIENCE STORE,40.727061297,-73.985654057,0
14,15933,1003200,1.0,09X324,1190.47821043,0.0,494.216427533,13,286,Meeting Target,0.014,0.294,0.654,0.035,0.5,0.78968256712,52203,8234,GROCERY SUPERMARKET,40.724529241,-73.984603685,1
15,16703,1003200,0.0,11X544,2767.88577414,0.0,596.756594711,13,494,Meeting Target,0.006,0.399,0.575,0.006,0.44736841321,1.0,52203,8234,GROCERY SUPERMARKET,40.727731003,-73.985175412,0
16,10840,1003200,0.0,28Q505,1068.74007945,1.0,1146.70467336,13,3321,Meeting Target,0.045,0.291,0.309,0.322,0.532369792461,0.772357702255,52203,8234,GROCERY SUPERMARKET,40.728101236,-73.984902608,0
17,12238,1003200,0.0,84X429,863.021452065,1.0,339.533609742,13,128,,0.016,0.117,0.578,0.008,0.6015625,0.546875,52203,8234,CONVENIENCE STORE,40.727180182,-73.982756541,0
18,10077,1009600,0.0,24Q610,251.016877495,2.0,629.620140922,13,2148,Exceeding Target,0.111,0.056,0.478,0.316,0.194134071469,1.0,36906,155,TOBACCO RETAIL,40.756451396,-73.982895239,0
19,13725,1009600,0.0,20K485,3155.13931815,1.0,790.569390254,13,1277,Meeting Target,0.171,0.078,0.551,0.176,0.436178535223,0.742364943027,36906,155,CONVENIENCE STORE,40.754907063,-73.982129483,0
20,13332,1009600,0.0,14K478,962.486294928,0.0,982.990857319,13,913,Meeting Target,0.02,0.353,0.582,0.035,0.312157720327,0.732749164104,36906,155,GROCERY SUPERMARKET,40.753986292,-73.981998944,0
21,11894,1009600,0.0,09X231,1492.7505635,2.0,1834.52934261,13,337,Meeting Target,0.003,0.596,0.362,0.003,0.0,0.841549277306,36906,155,PHARMACY,40.757726086,-73.981957281,0
22,9994,1009600,0.0,10X442,1678.49302682,1.0,1003.383077,13,425,Meeting Target,0.009,0.238,0.701,0.024,0.644705891609,0.816470563412,36906,155,GROCERY SUPERMARKET,40.754748044,-73.981731863,0
23,11713,1009600,0.0,02M420,806.787450842,1.0,1010.22476695,13,1700,Meeting Target,0.075,0.183,0.529,0.204,0.702941179276,1.0,36906,155,GROCERY SUPERMARKET,40.755326655,-73.98114927,0
24,10227,1009600,0.0,27Q323,3519.15024592,1.0,288.843576124,13,546,Exceeding Target,0.359,0.234,0.187,0.211,0.57592022419,0.480061352253,36906,155,CONVENIENCE STORE,40.756874484,-73.981101483,0
25,945,1009600,0.0,22K611,3914.22946251,1.0,1266.21452991,13,333,,0.249,0.387,0.216,0.141,0.492492496967,0.687687695026,36906,155,CONVENIENCE STORE,40.759000416,-73.981007609,0
26,978,1009600,0.0,28Q896,3928.2579932,1.0,444.938872,13,314,Exceeding Target,0.025,0.481,0.15,0.303,1.0,1.0,36906,155,CONVENIENCE STORE,40.759000416,-73.981007609,0
27,15625,1009600,0.0,27Q480,1387.6671387,0.0,1864.06972179,13,2386,Meeting Target,0.031,0.235,0.364,0.323,0.435456842184,0.772003352642,36906,155,GROCERY SUPERMARKET,40.755625032,-73.980092131,0
