BoroCT2010,n_report,school_distance,n_school,subway_distance,n_tobacco,Enrollment,Student Achievement Rating,Percent White,Percent Black,Percent Hispanic,Percent Asian,% Female,% Poverty,MHI,Total Population,type,latitude,longitude,class
1009800,0,3560.494752,0,1633.180573,15,515,Meeting Target,0.019,0.437,0.097,0.398,0.514563084,0.718446612,101191,7316,GROCERY SUPERMARKET,40.75440122,-73.96884473,1
1009800,0,1214.938812,0,835.1692019,15,237,Meeting Target,0.021,0.641,0.249,0.042,0.997333348,0.744000018,101191,7316,GROCERY SUPERMARKET,40.75478838,-73.96840815,1
1009800,0,1529.746733,1,1826.450398,15,425,Meeting Target,0.009,0.238,0.701,0.024,0.644705892,0.816470563,101191,7316,GROCERY SUPERMARKET,40.75697472,-73.96768153,1
1009800,0,3499.225505,1,1003.799771,15,3177,Approaching Target,0.189,0.117,0.303,0.385,0.435001582,0.76046586,101191,7316,GROCERY SUPERMARKET,40.75697472,-73.96768153,1
1009800,0,7797.061413,0,5458.90256,15,695,Meeting Target,0.235,0.112,0.576,0.073,0.478505999,0.525017619,101191,7316,GROCERY SUPERMARKET,40.7560541,-73.96748643,1
1009800,0,1839.051677,0,1046.835679,15,234,Approaching Target,0.013,0.35,0.624,0.004,0.427350432,0.846153855,101191,7316,GROCERY SUPERMARKET,40.75664511,-73.96720339,1
1009800,0,1460.027858,0,264.0305898,15,924,Approaching Target,0.024,0.683,0.224,0.028,0.733766258,0.739177465,101191,7316,TOBACCO RETAIL,40.75348628,-73.96706962,1
1009800,0,1037.722942,0,1949.216894,15,1608,Exceeding Target,0.046,0.207,0.542,0.183,0.496890545,0.803482592,101191,7316,GROCERY SUPERMARKET,40.75413345,-73.96599826,1
1009800,0,539.0740351,0,1655.31362,15,549,Meeting Target,0.024,0.716,0.177,0.062,0.45173043,0.741347909,101191,7316,CONVENIENCE STORE,40.75524973,-73.96518612,1
1009800,0,1073.905282,0,1910.037432,15,316,Exceeding Target,0.203,0.047,0.396,0.354,1,0.850267351,101191,7316,GROCERY SUPERMARKET,40.7562211,-73.96447519,1
1009800,0,1008.156449,1,704.1081631,15,136,Exceeding Target,0,0.875,0.066,0,0.500635326,0.827191889,101191,7316,CONVENIENCE STORE,40.75716121,-73.96683418,1
1009800,0,819.2268373,0,70.68428634,15,615,Meeting Target,0.02,0.161,0.815,0.003,0.465040654,0.738211393,101191,7316,OTHER,40.75465997,-73.9656162,1
1009800,0,348.8469311,0,1709.183473,15,448,Approaching Target,0.013,0.315,0.641,0.02,0.345982134,1,101191,7316,DELICATESSEN,40.75593114,-73.96468076,1
1010000,0,3502.316878,0,537.3979191,13,546,Exceeding Target,0.359,0.234,0.187,0.211,0.575920224,0.480061352,82488,1992,GROCERY SUPERMARKET,40.75694092,-73.97396492,1
1010000,0,3646.475908,0,34.91478825,13,2225,Meeting Target,0.129,0.313,0.208,0.333,0.465168536,0.773033679,82488,1992,GROCERY SUPERMARKET,40.75937106,-73.97221429,1
1010000,0,1472.796128,0,633.1737486,13,1950,Approaching Target,0.049,0.121,0.489,0.325,0.417948723,0.783589721,82488,1992,CONVENIENCE STORE,40.75718932,-73.97182069,1
1010000,0,818.0473665,0,2351.270363,13,1731,Approaching Target,0.189,0.055,0.645,0.096,0.42403236,0.68110919,82488,1992,GROCERY SUPERMARKET,40.75630687,-73.97181917,1
1010000,0,2486.660391,0,5121.644041,13,236,Approaching Target,0.017,0.822,0.136,0.017,0.508474588,0.877118647,82488,1992,GROCERY SUPERMARKET,40.75736168,-73.97169446,1
1010000,0,3309.871617,0,38226.16687,13,495,Exceeding Target,0.533,0.065,0.2,0.111,0.581818163,0.395959586,82488,1992,GROCERY SUPERMARKET,40.75796193,-73.97125505,1
1010000,0,2223.531466,0,922.2175001,13,498,Meeting Target,0.008,0.683,0.283,0.014,0.70080322,0.837349415,82488,1992,GROCERY SUPERMARKET,40.75844714,-73.97089977,1
1010000,0,5076.253428,0,14213.66092,13,650,Meeting Target,0.191,0.309,0.443,0.054,0.250769228,0.667692304,82488,1992,CONVENIENCE STORE,40.75908201,-73.97044501,1
1010000,0,934.8176784,0,2449.211419,13,418,Meeting Target,0.002,0.356,0.634,0.002,0.325358838,0.904306233,82488,1992,GROCERY SUPERMARKET,40.75969872,-73.97016088,1
1010000,0,945.6890588,0,1325.252017,13,655,Exceeding Target,0.31,0.119,0.179,0.359,0.504848838,0.266970903,82488,1992,CONVENIENCE STORE,40.76004561,-73.969817,1
1010000,1,2488.055718,0,2516.763517,13,77,Approaching Target,0,0.844,0.156,0,0.519480526,0.805194795,82488,1992,GROCERY SUPERMARKET,40.75737916,-73.96967692,2
1010000,0,1039.573868,1,1110.552109,13,361,Exceeding Target,0.022,0.834,0.072,0.028,0.506925225,0.584487557,82488,1992,GROCERY SUPERMARKET,40.75868646,-73.96867518,1
1010000,0,4231.582089,1,1629.590052,13,1277,Meeting Target,0.171,0.078,0.551,0.176,0.436178535,0.742364943,82488,1992,GROCERY SUPERMARKET,40.75913912,-73.96838668,1
1010200,0,2628.546353,0,8018.539383,14,4289,Meeting Target,0.153,0.069,0.227,0.543,0.503613889,0.724877596,41809,230,CONVENIENCE STORE,40.75689896,-73.97430759,1
1010200,0,2829.248791,0,2189.409149,14,330,Approaching Target,0.021,0.391,0.509,0.067,0.378787875,0.74848485,41809,230,CONVENIENCE STORE,40.75964912,-73.97424237,1
1010200,0,1836.36311,0,215.2660499,14,245,Approaching Target,0.02,0.898,0.057,0.004,0.438356161,0.708904088,41809,230,GROCERY SUPERMARKET,40.75892699,-73.97417938,1
1010200,0,1486.150209,0,1984.5098,14,379,Approaching Target,0.003,0.789,0.182,0.011,0.575197876,0.799472272,41809,230,GROCERY SUPERMARKET,40.75981163,-73.97413392,1
1010200,0,1042.239163,0,2828.677583,14,554,Exceeding Target,0.621,0.04,0.085,0.215,0.592057765,0.207581222,41809,230,GROCERY SUPERMARKET,40.75981163,-73.97413392,1
1010200,0,850.3610853,0,1008.757126,14,296,Exceeding Target,0,0.318,0.666,0,0.475202888,0.85933274,41809,230,GROCERY SUPERMARKET,40.75989937,-73.97406176,1
1010200,0,2422.976652,0,908.1764692,14,434,Exceeding Target,0.069,0.051,0.104,0.765,0.435483873,0.642857134,41809,230,CONVENIENCE STORE,40.7600494,-73.97403718,1
1010200,0,1686.782964,0,742.0886724,14,1023,Approaching Target,0.017,0.626,0.283,0.055,0.145650044,0.707722366,41809,230,OTHER,40.75883891,-73.97396144,1
1010200,0,1886.482863,0,37.15473654,14,549,Approaching Target,0.077,0.679,0.186,0.042,0.213114753,0.812386155,41809,230,GROCERY SUPERMARKET,40.75754933,-73.9738472,1
1010200,0,266.0381916,0,702.2846688,14,372,Meeting Target,0.013,0.07,0.906,0.003,0.505426347,0.914728701,41809,230,DELICATESSEN,40.76048997,-73.97371666,1
1010200,0,1046.816834,0,46.35807049,14,663,Approaching Target,0.507,0.041,0.275,0.172,0.50163579,0.750272632,41809,230,CONVENIENCE STORE,40.76004707,-73.97293925,1
1010200,0,565.5622527,0,1462.415622,14,304,,0.007,0.201,0.789,0.003,0.490756303,0.959663868,41809,230,DELICATESSEN,40.76078171,-73.97271145,1
1010200,0,1380.901817,0,116.0549194,14,299,Approaching Target,0.007,0.786,0.181,0.007,0.609756112,0.810298085,41809,230,GROCERY SUPERMARKET,40.76160449,-73.97482098,1
1010200,0,2137.074421,0,4918.600273,14,440,Not Meeting Target,0.007,0.332,0.616,0.027,0.329545468,1,41809,230,GROCERY SUPERMARKET,40.75803327,-73.97543052,1
1010400,0,2487.15396,0,1840.785921,11,327,Exceeding Target,0.144,0.196,0.174,0.477,1,0.909262776,85455,966,GROCERY SUPERMARKET,40.7616062,-73.97499621,1
1010400,0,1535.159996,0,452.0796231,11,345,Meeting Target,0.017,0.275,0.696,0.006,0.523333311,0.894999981,85455,966,GROCERY SUPERMARKET,40.7616062,-73.97499621,1
1010400,0,2005.98387,0,645.8671046,11,205,Meeting Target,0.024,0.132,0.78,0.054,0.540259719,0.851948023,85455,966,DELICATESSEN,40.76205291,-73.97572682,1
1010400,0,1515.812834,0,1016.663274,11,486,Meeting Target,0.01,0.245,0.704,0.019,0.549222827,0.901554406,85455,966,GROCERY SUPERMARKET,40.76297489,-73.97618177,1
1010400,0,1768.152898,0,1279.909534,11,3553,Meeting Target,0.269,0.038,0.288,0.395,0.424430072,0.729805827,85455,966,DELICATESSEN,40.76337018,-73.97782851,1
1010400,0,2151.917832,0,1003.451345,11,425,Meeting Target,0.009,0.238,0.701,0.024,0.644705892,0.816470563,85455,966,GROCERY SUPERMARKET,40.76276896,-73.97826824,1
1010400,1,3267.131781,0,1068.228332,11,1731,Approaching Target,0.189,0.055,0.645,0.096,0.42403236,0.68110919,85455,966,DELICATESSEN,40.76004963,-73.97877472,2
1010400,0,2305.510552,0,4789.237211,11,451,Exceeding Target,0.04,0.39,0.122,0.421,0.579889834,0.636363626,85455,966,CONVENIENCE STORE,40.75881044,-73.97874594,1
